origin,destination,km,km_road,km_rail,km_pipe
8,60,310.389,0.039379,0.0,306.72
8,61,208.499,0.039379,0.0,202.432
8,62,955.504,0.039379,286.989,628.956
8,63,1021.32,0.039379,286.989,691.998
8,64,1010.31,0.039379,286.989,652.682
8,65,951.054,0.039379,286.989,620.998
8,66,239.757,0.039379,0.0,235.916
8,67,953.901,0.039379,286.989,626.562
8,68,169.029,0.039379,0.0,159.313
8,69,626.875,0.039379,0.0,615.752
8,70,975.491,0.039379,286.989,645.662
8,71,959.771,0.039379,286.989,631.793
8,72,959.977,0.039379,286.989,630.615
8,73,956.915,0.039379,286.989,627.288
8,74,342.084,30.8443,0.0,306.72
8,75,154.362,3.53124,0.0,147.793
8,76,210.968,2.04187,0.0,202.533
8,77,266.456,0.102523,0.0,263.769
8,78,320.588,319.405,0.0,0.0
8,79,1118.75,5.98557,286.989,787.143
8,80,285.897,18.848,0.0,263.769
8,81,319.432,7.19991,0.0,304.373
8,82,961.602,1.32758,286.989,630.615
8,83,961.119,0.039379,286.989,632.473
8,84,1081.96,75.5128,286.989,652.682
8,85,247.358,8.27251,0.0,235.399
9,1,579.757,67.6167,486.839,13.1462
9,2,141.892,76.611,62.6963,0.0
9,3,641.236,67.6167,486.839,75.6846
9,4,556.445,68.383,486.839,0.0
9,5,736.916,67.6167,486.839,171.346
9,6,575.443,67.6167,486.839,5.8074
9,7,580.572,67.6167,486.839,11.6946
9,8,568.89,67.6167,486.839,3.22085
9,9,580.572,67.6167,486.839,11.6946
9,10,587.746,67.6167,486.839,21.4268
9,11,608.377,67.6167,486.839,30.6073
9,12,737.048,67.6167,486.839,171.391
9,13,630.691,67.6167,486.839,36.9302
9,14,602.633,67.6167,486.839,25.0723
9,15,583.988,67.6167,486.839,6.50326
9,16,220.371,76.611,62.6963,65.6009
9,17,291.297,76.611,62.6963,141.082
9,18,271.566,76.611,62.6963,125.204
9,19,211.98,76.611,62.6963,65.1223
9,20,669.96,392.548,62.6963,206.425
9,21,243.369,76.611,62.6963,96.6067
9,22,244.807,76.611,62.6963,98.1307
9,23,630.518,67.6167,486.839,65.6235
9,24,154.454,76.611,62.6963,3.89205
9,25,272.935,76.611,62.6963,125.846
9,26,244.116,76.611,62.6963,97.6298
9,27,577.323,67.6167,486.839,11.4201
9,28,300.892,67.6167,197.022,0.0
9,29,594.766,67.6167,486.839,29.9786
9,30,641.042,67.6167,486.839,76.0405
9,31,271.854,76.611,62.6963,125.428
9,32,244.791,76.611,62.6963,98.1307
9,33,583.105,67.6167,486.839,16.7347
9,34,297.399,167.878,112.775,0.0
9,35,283.658,67.6167,197.022,0.0
9,36,248.502,76.611,62.6963,98.9128
9,37,608.23,67.6167,486.839,36.9302
9,38,603.137,67.6167,486.839,27.3486
9,39,244.739,76.611,62.6963,97.6941
9,40,290.398,76.611,62.6963,138.735
9,41,352.8,76.611,62.6963,206.425
9,42,101.268,100.687,0.0,0.0
9,43,726.964,67.6167,486.839,160.765
9,44,597.878,67.6167,486.839,28.6099
9,45,289.259,76.611,62.6963,141.082
9,46,221.319,76.611,62.6963,68.4158
9,47,893.022,67.6167,486.839,320.509
9,48,641.17,67.6167,486.839,75.6864
9,49,766.469,67.6167,486.839,199.802
9,50,577.29,67.6167,486.839,11.8681
9,51,581.107,67.6167,486.839,12.1653
9,52,141.834,76.6573,62.6963,0.0
9,53,205.989,76.611,62.6963,53.5796
9,54,244.326,76.611,62.6963,96.6445
9,55,584.937,67.6167,486.839,16.7214
9,56,584.571,67.6167,486.839,16.7347
9,57,245.121,76.611,62.6963,98.1307
9,58,216.878,76.611,62.6963,70.4519
9,59,272.805,76.611,62.6963,125.706
9,60,288.898,76.611,62.6963,141.082
9,61,154.207,76.611,62.6963,3.99282
9,62,579.781,67.6167,486.839,13.2039
9,63,645.601,67.6167,486.839,76.2464
9,64,634.585,67.6167,486.839,36.9302
9,65,575.331,67.6167,486.839,5.24632
9,66,218.265,76.611,62.6963,70.2771
9,67,578.177,67.6167,486.839,10.8105
9,68,200.974,76.611,62.6963,47.1117
9,69,284.465,67.6167,197.022,0.0
9,70,599.768,67.6167,486.839,29.9103
9,71,584.048,67.6167,486.839,16.0417
9,72,584.254,67.6167,486.839,14.8631
9,73,581.192,67.6167,486.839,11.5363
9,74,320.593,107.416,62.6963,141.082
9,75,216.841,76.4329,139.553,0.0
9,76,143.226,78.6389,62.6963,0.0
9,77,244.965,76.6741,62.6963,98.1307
9,78,672.999,396.056,62.6963,206.425
9,79,743.029,73.5629,486.839,171.391
9,80,264.406,95.4196,62.6963,98.1307
9,81,297.94,83.7715,62.6963,138.735
9,82,585.879,68.9049,486.839,14.8631
9,83,585.396,67.6167,486.839,16.7214
9,84,706.232,143.09,486.839,36.9302
9,85,225.867,84.8441,62.6963,69.7601
10,1,520.104,31.3154,286.989,163.657
10,2,295.141,31.3154,0.0,258.816
10,3,581.583,31.3154,286.989,226.195
10,4,496.792,32.0817,286.989,150.511
10,5,677.263,31.3154,286.989,321.856
10,6,515.79,31.3154,286.989,156.318
10,7,520.92,31.3154,286.989,162.205
10,8,509.237,31.3154,286.989,153.732
10,9,520.92,31.3154,286.989,162.205
10,10,528.093,31.3154,286.989,171.937
10,11,548.724,31.3154,286.989,181.118
10,12,677.395,31.3154,286.989,321.902
10,13,571.039,31.3154,286.989,187.441
10,14,542.98,31.3154,286.989,175.583
10,15,524.336,31.3154,286.989,157.014
10,16,233.703,31.3154,0.0,193.215
10,17,375.15,31.3154,0.0,339.216
10,18,386.06,31.3154,0.0,353.98
10,19,295.832,31.3154,0.0,263.256
10,20,814.494,347.253,0.0,465.241
10,21,327.222,31.3154,0.0,294.741
10,22,328.659,31.3154,0.0,296.265
10,23,570.866,31.3154,286.989,216.134
10,24,298.988,31.3154,0.0,262.708
10,25,386.146,31.3154,0.0,353.339
10,26,327.968,31.3154,0.0,295.764
10,27,517.67,31.3154,286.989,161.931
10,28,207.926,31.3154,0.0,150.511
10,29,535.113,31.3154,286.989,180.489
10,30,581.389,31.3154,286.989,226.551
10,31,385.901,31.3154,0.0,353.757
10,32,328.643,31.3154,0.0,296.265
10,33,523.453,31.3154,286.989,167.245
10,34,301.669,120.056,0.0,150.511
10,35,190.693,31.3154,0.0,150.511
10,36,393.037,31.3154,0.0,357.729
10,37,548.577,31.3154,286.989,187.441
10,38,543.484,31.3154,286.989,177.859
10,39,328.591,31.3154,0.0,295.828
10,40,374.25,31.3154,0.0,336.869
10,41,497.334,31.3154,0.0,465.241
10,42,31.8965,31.3154,0.0,0.0
10,43,667.312,31.3154,286.989,311.275
10,44,538.225,31.3154,286.989,179.121
10,45,373.111,31.3154,0.0,339.216
10,46,365.853,31.3154,0.0,327.232
10,47,833.37,31.3154,286.989,471.02
10,48,581.517,31.3154,286.989,226.197
10,49,706.816,31.3154,286.989,350.312
10,50,517.637,31.3154,286.989,162.379
10,51,521.454,31.3154,286.989,162.676
10,52,295.295,31.3154,0.0,258.874
10,53,289.841,31.3154,0.0,251.714
10,54,328.178,31.3154,0.0,294.778
10,55,525.284,31.3154,286.989,167.232
10,56,524.918,31.3154,286.989,167.245
10,57,328.974,31.3154,0.0,296.265
10,58,300.731,31.3154,0.0,268.586
10,59,386.296,31.3154,0.0,353.478
10,60,372.75,31.3154,0.0,339.216
10,61,298.741,31.3154,0.0,262.809
10,62,520.128,31.3154,286.989,163.715
10,63,585.949,31.3154,286.989,226.757
10,64,574.933,31.3154,286.989,187.441
10,65,515.678,31.3154,286.989,155.757
10,66,302.118,31.3154,0.0,268.411
10,67,518.525,31.3154,286.989,161.321
10,68,345.509,31.3154,0.0,305.928
10,69,191.499,31.3154,0.0,150.511
10,70,540.115,31.3154,286.989,180.421
10,71,524.395,31.3154,286.989,166.552
10,72,524.602,31.3154,286.989,165.374
10,73,521.539,31.3154,286.989,162.047
10,74,404.445,62.1203,0.0,339.216
10,75,389.913,34.8073,0.0,353.478
10,76,297.866,33.297,0.0,258.874
10,77,328.817,31.3786,0.0,296.265
10,78,817.534,350.76,0.0,465.241
10,79,683.376,37.2616,286.989,321.902
10,80,348.258,50.124,0.0,296.265
10,81,381.793,38.476,0.0,336.869
10,82,526.226,32.6036,286.989,165.374
10,83,525.743,31.3154,286.989,167.232
10,84,646.579,106.789,286.989,187.441
10,85,309.719,39.5486,0.0,267.894
11,1,871.705,55.1139,349.685,422.473
11,2,120.395,55.1139,62.6963,0.0
11,3,933.184,55.1139,349.685,485.011
11,4,848.393,55.8802,349.685,409.327
11,5,1028.86,55.1139,349.685,580.672
11,6,867.391,55.1139,349.685,415.134
11,7,872.52,55.1139,349.685,421.021
11,8,860.838,55.1139,349.685,412.548
11,9,872.52,55.1139,349.685,421.021
11,10,879.694,55.1139,349.685,430.754
11,11,900.325,55.1139,349.685,439.934
11,12,1029.0,55.1139,349.685,580.718
11,13,922.639,55.1139,349.685,446.257
11,14,894.581,55.1139,349.685,434.399
11,15,875.936,55.1139,349.685,415.83
11,16,198.874,55.1139,62.6963,65.6009
11,17,269.8,55.1139,62.6963,141.082
11,18,250.069,55.1139,62.6963,125.204
11,19,190.482,55.1139,62.6963,65.1223
11,20,648.463,371.051,62.6963,206.425
11,21,221.872,55.1139,62.6963,96.6067
11,22,223.31,55.1139,62.6963,98.1307
11,23,922.466,55.1139,349.685,474.95
11,24,132.957,55.1139,62.6963,3.89205
11,25,251.438,55.1139,62.6963,125.846
11,26,222.619,55.1139,62.6963,97.6298
11,27,869.271,55.1139,349.685,420.747
11,28,559.527,55.1139,62.6963,409.327
11,29,886.714,55.1139,349.685,439.305
11,30,932.99,55.1139,349.685,485.367
11,31,250.357,55.1139,62.6963,125.428
11,32,223.294,55.1139,62.6963,98.1307
11,33,875.054,55.1139,349.685,426.061
11,34,653.269,143.854,62.6963,409.327
11,35,542.293,55.1139,62.6963,409.327
11,36,227.005,55.1139,62.6963,98.9128
11,37,900.178,55.1139,349.685,446.257
11,38,895.085,55.1139,349.685,436.675
11,39,223.242,55.1139,62.6963,97.6941
11,40,268.901,55.1139,62.6963,138.735
11,41,331.303,55.1139,62.6963,206.425
11,42,383.639,55.1139,62.6963,258.816
11,43,1018.91,55.1139,349.685,570.091
11,44,889.826,55.1139,349.685,437.937
11,45,267.762,55.1139,62.6963,141.082
11,46,199.822,55.1139,62.6963,68.4158
11,47,1184.97,55.1139,349.685,729.836
11,48,933.118,55.1139,349.685,485.013
11,49,1058.42,55.1139,349.685,609.128
11,50,869.238,55.1139,349.685,421.195
11,51,873.055,55.1139,349.685,421.492
11,52,120.337,55.1603,62.6963,0.0
11,53,184.492,55.1139,62.6963,53.5796
11,54,222.829,55.1139,62.6963,96.6445
11,55,876.885,55.1139,349.685,426.048
11,56,876.519,55.1139,349.685,426.061
11,57,223.624,55.1139,62.6963,98.1307
11,58,195.381,55.1139,62.6963,70.4519
11,59,251.308,55.1139,62.6963,125.706
11,60,267.401,55.1139,62.6963,141.082
11,61,132.71,55.1139,62.6963,3.99282
11,62,871.729,55.1139,349.685,422.531
11,63,937.549,55.1139,349.685,485.573
11,64,926.534,55.1139,349.685,446.257
11,65,867.279,55.1139,349.685,414.573
11,66,196.768,55.1139,62.6963,70.2771
11,67,870.126,55.1139,349.685,420.137
11,68,179.477,55.1139,62.6963,47.1117
11,69,543.1,55.1139,62.6963,409.327
11,70,891.716,55.1139,349.685,439.237
11,71,875.996,55.1139,349.685,425.368
11,72,876.202,55.1139,349.685,424.19
11,73,873.14,55.1139,349.685,420.863
11,74,299.096,85.9189,62.6963,141.082
11,75,195.344,54.9359,139.553,0.0
11,76,121.729,57.1418,62.6963,0.0
11,77,223.468,55.1771,62.6963,98.1307
11,78,651.502,374.559,62.6963,206.425
11,79,1034.98,61.0601,349.685,580.718
11,80,242.909,73.9226,62.6963,98.1307
11,81,276.443,62.2745,62.6963,138.735
11,82,877.827,56.4021,349.685,424.19
11,83,877.344,55.1139,349.685,426.048
11,84,998.18,130.587,349.685,446.257
11,85,204.37,63.3471,62.6963,69.7601
12,1,1282.43,268.533,286.989,686.537
12,2,539.833,268.533,0.0,264.064
12,3,1343.91,268.533,286.989,749.075
12,4,1259.12,269.299,286.989,673.391
12,5,1439.59,268.533,286.989,844.736
12,6,1278.11,268.533,286.989,679.198
12,7,1283.24,268.533,286.989,685.085
12,8,1271.56,268.533,286.989,676.612
12,9,1283.24,268.533,286.989,685.085
12,10,1290.42,268.533,286.989,694.818
12,11,1311.05,268.533,286.989,703.998
12,12,1439.72,268.533,286.989,844.782
12,13,1333.36,268.533,286.989,710.321
12,14,1305.3,268.533,286.989,698.463
12,15,1286.66,268.533,286.989,679.894
12,16,609.597,268.533,0.0,329.665
12,17,639.738,268.533,0.0,364.359
12,18,476.454,268.533,0.0,204.93
12,19,567.674,268.533,0.0,295.654
12,20,874.848,584.47,0.0,286.15
12,21,591.81,268.533,0.0,319.884
12,22,593.247,268.533,0.0,321.408
12,23,1333.19,268.533,286.989,739.014
12,24,535.896,268.533,0.0,260.172
12,25,477.823,268.533,0.0,205.571
12,26,592.556,268.533,0.0,320.907
12,27,1279.99,268.533,286.989,684.811
12,28,970.251,268.533,0.0,673.391
12,29,1297.44,268.533,286.989,703.369
12,30,1343.71,268.533,286.989,749.431
12,31,476.742,268.533,0.0,205.153
12,32,593.231,268.533,0.0,321.408
12,33,1285.78,268.533,286.989,690.125
12,34,1063.99,357.273,0.0,673.391
12,35,953.017,268.533,0.0,673.391
12,36,453.39,268.533,0.0,178.638
12,37,1310.9,268.533,286.989,710.321
12,38,1305.81,268.533,286.989,700.739
12,39,593.179,268.533,0.0,320.972
12,40,638.838,268.533,0.0,362.012
12,41,557.688,268.533,0.0,286.15
12,42,794.363,268.533,0.0,522.88
12,43,1429.64,268.533,286.989,834.155
12,44,1300.55,268.533,286.989,702.001
12,45,637.699,268.533,0.0,364.359
12,46,473.714,268.533,0.0,195.648
12,47,1595.69,268.533,286.989,993.9
12,48,1343.84,268.533,286.989,749.077
12,49,1469.14,268.533,286.989,873.192
12,50,1279.96,268.533,286.989,685.259
12,51,1283.78,268.533,286.989,685.556
12,52,539.871,268.533,0.0,264.006
12,53,584.769,268.533,0.0,307.196
12,54,592.766,268.533,0.0,319.922
12,55,1287.61,268.533,286.989,690.112
12,56,1287.24,268.533,286.989,690.125
12,57,593.562,268.533,0.0,321.408
12,58,561.913,268.533,0.0,290.324
12,59,477.693,268.533,0.0,205.432
12,60,637.338,268.533,0.0,364.359
12,61,535.448,268.533,0.0,260.071
12,62,1282.45,268.533,286.989,686.595
12,63,1348.27,268.533,286.989,749.637
12,64,1337.26,268.533,286.989,710.321
12,65,1278.0,268.533,286.989,678.637
12,66,566.706,268.533,0.0,293.555
12,67,1280.85,268.533,286.989,684.201
12,68,495.977,268.533,0.0,216.952
12,69,953.823,268.533,0.0,673.391
12,70,1302.44,268.533,286.989,703.301
12,71,1286.72,268.533,286.989,689.432
12,72,1286.93,268.533,286.989,688.254
12,73,1283.86,268.533,286.989,684.927
12,74,669.033,299.338,0.0,364.359
12,75,481.311,272.025,0.0,205.432
12,76,537.916,270.535,0.0,260.172
12,77,593.405,268.596,0.0,321.408
12,78,877.887,587.977,0.0,286.15
12,79,1445.7,274.479,286.989,844.782
12,80,612.846,287.341,0.0,321.408
12,81,646.381,275.693,0.0,362.012
12,82,1288.55,269.821,286.989,688.254
12,83,1288.07,268.533,286.989,690.112
12,84,1408.9,344.006,286.989,710.321
12,85,574.307,276.766,0.0,293.038
13,1,569.886,353.108,0.0,212.948
13,2,595.135,323.835,0.0,264.064
13,3,479.996,353.108,0.0,124.117
13,4,564.128,353.108,0.0,199.278
13,5,711.419,353.108,0.0,355.521
13,6,565.572,353.108,0.0,205.609
13,7,570.701,353.108,0.0,211.496
13,8,559.019,353.108,0.0,203.023
13,9,570.701,353.108,0.0,211.496
13,10,577.875,353.108,0.0,221.228
13,11,598.506,353.108,0.0,230.409
13,12,711.551,353.108,0.0,355.567
13,13,620.82,353.108,0.0,236.732
13,14,577.136,353.108,0.0,209.248
13,15,561.111,353.108,0.0,193.298
13,16,664.899,323.835,0.0,329.665
13,17,695.04,323.835,0.0,364.359
13,18,531.756,323.835,0.0,204.93
13,19,622.976,323.835,0.0,295.654
13,20,930.15,639.773,0.0,286.15
13,21,647.112,323.835,0.0,319.884
13,22,648.549,323.835,0.0,321.408
13,23,489.4,353.108,0.0,134.178
13,24,591.199,323.835,0.0,260.172
13,25,533.125,323.835,0.0,205.571
13,26,647.858,323.835,0.0,320.907
13,27,567.452,353.108,0.0,211.222
13,28,395.621,344.666,0.0,0.0
13,29,584.895,353.108,0.0,229.78
13,30,479.09,353.108,0.0,123.761
13,31,532.044,323.835,0.0,205.153
13,32,648.533,323.835,0.0,321.408
13,33,573.235,353.108,0.0,216.536
13,34,489.364,433.406,0.0,0.0
13,35,378.388,344.666,0.0,0.0
13,36,508.693,323.835,0.0,178.638
13,37,598.359,353.108,0.0,236.732
13,38,577.64,353.108,0.0,211.524
13,39,648.481,323.835,0.0,320.972
13,40,694.14,323.835,0.0,362.012
13,41,612.99,323.835,0.0,286.15
13,42,520.755,344.666,0.0,150.511
13,43,701.467,353.108,0.0,344.94
13,44,572.381,353.108,0.0,212.785
13,45,693.001,323.835,0.0,364.359
13,46,529.016,323.835,0.0,195.648
13,47,725.295,353.108,0.0,362.455
13,48,479.926,353.108,0.0,124.115
13,49,353.169,353.108,0.0,0.0
13,50,567.419,353.108,0.0,211.67
13,51,571.236,353.108,0.0,211.967
13,52,595.173,323.835,0.0,264.006
13,53,640.071,323.835,0.0,307.196
13,54,648.068,323.835,0.0,319.922
13,55,575.066,353.108,0.0,216.523
13,56,574.7,353.108,0.0,216.536
13,57,648.864,323.835,0.0,321.408
13,58,617.215,323.835,0.0,290.324
13,59,532.996,323.835,0.0,205.432
13,60,692.64,323.835,0.0,364.359
13,61,590.75,323.835,0.0,260.071
13,62,569.91,353.108,0.0,213.006
13,63,483.238,353.108,0.0,123.555
13,64,624.715,353.108,0.0,236.732
13,65,565.46,353.108,0.0,205.048
13,66,622.008,323.835,0.0,293.555
13,67,568.307,353.108,0.0,210.612
13,68,551.28,323.835,0.0,216.952
13,69,379.194,344.666,0.0,0.0
13,70,589.897,353.108,0.0,229.712
13,71,574.177,353.108,0.0,215.843
13,72,574.383,353.108,0.0,214.665
13,73,571.321,353.108,0.0,211.338
13,74,724.335,354.64,0.0,364.359
13,75,536.613,327.327,0.0,205.432
13,76,593.218,325.837,0.0,260.172
13,77,648.707,323.898,0.0,321.408
13,78,933.189,643.28,0.0,286.15
13,79,717.532,359.054,0.0,355.567
13,80,668.148,342.644,0.0,321.408
13,81,701.683,330.996,0.0,362.012
13,82,576.008,354.396,0.0,214.665
13,83,575.525,353.108,0.0,216.523
13,84,696.361,428.582,0.0,236.732
13,85,629.609,332.068,0.0,293.038
14,1,547.012,34.872,486.839,13.1462
14,2,213.257,35.3257,175.516,0.0
14,3,608.491,34.872,486.839,75.6846
14,4,523.7,35.6383,486.839,0.0
14,5,704.171,34.872,486.839,171.346
14,6,542.698,34.872,486.839,5.8074
14,7,547.828,34.872,486.839,11.6946
14,8,536.145,34.872,486.839,3.22085
14,9,547.828,34.872,486.839,11.6946
14,10,555.001,34.872,486.839,21.4268
14,11,575.632,34.872,486.839,30.6073
14,12,704.303,34.872,486.839,171.391
14,13,597.946,34.872,486.839,36.9302
14,14,569.888,34.872,486.839,25.0723
14,15,551.244,34.872,486.839,6.50326
14,16,291.735,35.3257,175.516,65.6009
14,17,362.662,35.3257,175.516,141.082
14,18,342.93,35.3257,175.516,125.204
14,19,283.344,35.3257,175.516,65.1223
14,20,741.324,351.263,175.516,206.425
14,21,314.734,35.3257,175.516,96.6067
14,22,316.171,35.3257,175.516,98.1307
14,23,597.774,34.872,486.839,65.6235
14,24,225.818,35.3257,175.516,3.89205
14,25,344.299,35.3257,175.516,125.846
14,26,315.48,35.3257,175.516,97.6298
14,27,544.578,34.872,486.839,11.4201
14,28,268.147,34.872,197.022,0.0
14,29,562.021,34.872,486.839,29.9786
14,30,608.297,34.872,486.839,76.0405
14,31,343.219,35.3257,175.516,125.428
14,32,316.155,35.3257,175.516,98.1307
14,33,550.361,34.872,486.839,16.7347
14,34,264.655,135.134,112.775,0.0
14,35,250.914,34.872,197.022,0.0
14,36,319.867,35.3257,175.516,98.9128
14,37,575.485,34.872,486.839,36.9302
14,38,570.392,34.872,486.839,27.3486
14,39,316.103,35.3257,175.516,97.6941
14,40,361.762,35.3257,175.516,138.735
14,41,424.164,35.3257,175.516,206.425
14,42,68.5236,67.9425,0.0,0.0
14,43,694.219,34.872,486.839,160.765
14,44,565.133,34.872,486.839,28.6099
14,45,360.623,35.3257,175.516,141.082
14,46,292.683,35.3257,175.516,68.4158
14,47,860.278,34.872,486.839,320.509
14,48,608.425,34.872,486.839,75.6864
14,49,733.724,34.872,486.839,199.802
14,50,544.545,34.872,486.839,11.8681
14,51,548.362,34.872,486.839,12.1653
14,52,213.198,35.3721,175.516,0.0
14,53,277.354,35.3257,175.516,53.5796
14,54,315.69,35.3257,175.516,96.6445
14,55,552.192,34.872,486.839,16.7214
14,56,551.826,34.872,486.839,16.7347
14,57,316.486,35.3257,175.516,98.1307
14,58,288.243,35.3257,175.516,70.4519
14,59,344.17,35.3257,175.516,125.706
14,60,360.262,35.3257,175.516,141.082
14,61,225.571,35.3257,175.516,3.99282
14,62,547.036,34.872,486.839,13.2039
14,63,612.857,34.872,486.839,76.2464
14,64,601.841,34.872,486.839,36.9302
14,65,542.586,34.872,486.839,5.24632
14,66,289.63,35.3257,175.516,70.2771
14,67,545.433,34.872,486.839,10.8105
14,68,272.339,35.3257,175.516,47.1117
14,69,251.72,34.872,197.022,0.0
14,70,567.023,34.872,486.839,29.9103
14,71,551.303,34.872,486.839,16.0417
14,72,551.509,34.872,486.839,14.8631
14,73,548.447,34.872,486.839,11.5363
14,74,391.957,66.1306,175.516,141.082
14,75,287.976,35.1476,252.143,0.0
14,76,214.59,37.3536,175.516,0.0
14,77,316.329,35.3888,175.516,98.1307
14,78,744.364,354.77,175.516,206.425
14,79,710.284,40.8182,486.839,171.391
14,80,335.77,54.1343,175.516,98.1307
14,81,369.305,42.4862,175.516,138.735
14,82,553.134,36.1602,486.839,14.8631
14,83,552.651,34.872,486.839,16.7214
14,84,673.487,110.345,486.839,36.9302
14,85,297.231,43.5588,175.516,69.7601
15,1,908.531,91.9399,349.685,422.473
15,2,157.221,91.9399,62.6963,0.0
15,3,970.01,91.9399,349.685,485.011
15,4,885.219,92.7062,349.685,409.327
15,5,1065.69,91.9399,349.685,580.672
15,6,904.217,91.9399,349.685,415.134
15,7,909.346,91.9399,349.685,421.021
15,8,897.664,91.9399,349.685,412.548
15,9,909.346,91.9399,349.685,421.021
15,10,916.52,91.9399,349.685,430.754
15,11,937.151,91.9399,349.685,439.934
15,12,1065.82,91.9399,349.685,580.718
15,13,959.465,91.9399,349.685,446.257
15,14,931.407,91.9399,349.685,434.399
15,15,912.762,91.9399,349.685,415.83
15,16,106.304,106.25,0.0,0.0
15,17,306.626,91.9399,62.6963,141.082
15,18,286.895,91.9399,62.6963,125.204
15,19,227.308,91.9399,62.6963,65.1223
15,20,685.289,407.877,62.6963,206.425
15,21,258.698,91.9399,62.6963,96.6067
15,22,260.136,91.9399,62.6963,98.1307
15,23,959.292,91.9399,349.685,474.95
15,24,169.783,91.9399,62.6963,3.89205
15,25,288.264,91.9399,62.6963,125.846
15,26,259.445,91.9399,62.6963,97.6298
15,27,906.097,91.9399,349.685,420.747
15,28,596.353,91.9399,62.6963,409.327
15,29,923.54,91.9399,349.685,439.305
15,30,969.816,91.9399,349.685,485.367
15,31,287.183,91.9399,62.6963,125.428
15,32,260.12,91.9399,62.6963,98.1307
15,33,911.88,91.9399,349.685,426.061
15,34,690.095,180.68,62.6963,409.327
15,35,579.119,91.9399,62.6963,409.327
15,36,263.831,91.9399,62.6963,98.9128
15,37,937.004,91.9399,349.685,446.257
15,38,931.911,91.9399,349.685,436.675
15,39,260.068,91.9399,62.6963,97.6941
15,40,305.727,91.9399,62.6963,138.735
15,41,368.129,91.9399,62.6963,206.425
15,42,420.465,91.9399,62.6963,258.816
15,43,1055.74,91.9399,349.685,570.091
15,44,926.652,91.9399,349.685,437.937
15,45,304.588,91.9399,62.6963,141.082
15,46,236.648,91.9399,62.6963,68.4158
15,47,1221.8,91.9399,349.685,729.836
15,48,969.944,91.9399,349.685,485.013
15,49,1095.24,91.9399,349.685,609.128
15,50,906.064,91.9399,349.685,421.195
15,51,909.881,91.9399,349.685,421.492
15,52,157.163,91.9863,62.6963,0.0
15,53,221.318,91.9399,62.6963,53.5796
15,54,259.655,91.9399,62.6963,96.6445
15,55,913.711,91.9399,349.685,426.048
15,56,913.345,91.9399,349.685,426.061
15,57,260.45,91.9399,62.6963,98.1307
15,58,232.207,91.9399,62.6963,70.4519
15,59,288.134,91.9399,62.6963,125.706
15,60,304.227,91.9399,62.6963,141.082
15,61,169.536,91.9399,62.6963,3.99282
15,62,908.555,91.9399,349.685,422.531
15,63,974.375,91.9399,349.685,485.573
15,64,963.36,91.9399,349.685,446.257
15,65,904.105,91.9399,349.685,414.573
15,66,233.594,91.9399,62.6963,70.2771
15,67,906.952,91.9399,349.685,420.137
15,68,216.303,91.9399,62.6963,47.1117
15,69,579.926,91.9399,62.6963,409.327
15,70,928.542,91.9399,349.685,439.237
15,71,912.822,91.9399,349.685,425.368
15,72,913.028,91.9399,349.685,424.19
15,73,909.966,91.9399,349.685,420.863
15,74,335.922,122.745,62.6963,141.082
15,75,232.17,91.7618,139.553,0.0
15,76,158.555,93.9678,62.6963,0.0
15,77,260.294,92.0031,62.6963,98.1307
15,78,688.328,411.385,62.6963,206.425
